수상분야,영화명,수상자,연도,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수
남우주연상,택시운전사,송강호,2017,장훈,더램프(주),(주)쇼박스,2017-08-02,개봉영화,장편,한국,"1,906","2,091,500",357,"968,500",166
남우주연상,내부자들,이병헌,2016,우민호,(유)내부자들 문화전문회사,(주)쇼박스,2015-11-19,개봉영화,장편,한국,"1,075","56,596,582,057","7,071,763","16,340,245,357","1,972,885"
남우주연상,사도,유아인,2015,이준익,(주)타이거픽쳐스,(주)쇼박스,2015-09-16,개봉영화,장편,한국,"1,210","48,842,902,501","6,246,849","12,987,928,301","1,606,486"
남우주연상,변호인,송강호,2014,양우석,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300","11,372,451","22,571,929,000","2,978,688"
남우주연상,신세계,황정민,2013,박훈정,"(주)사나이픽처스?,?(주)페퍼민트앤컴퍼니?,?(주)대명문화공장?,?(주)파트너스케이",(주)넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,671,"34,881,330,905","4,682,492","11,114,978,905","1,435,648"
여우주연상,아이 캔 스피크,나문희,2017,김현석,"주식회사 영화사 시선?,?(주)명필름","롯데쇼핑㈜롯데엔터테인먼트?,?(주)리틀빅픽쳐스",2017-09-21,개봉영화,장편,한국,"1,140","25,532,214,986","3,280,243","6,409,220,686","796,658"
여우주연상,아가씨,김민희,2016,박찬욱,"유한회사 아가씨에프에스?,?(주)모호필름?,?(주)용필름",씨제이이앤엠(주),2016-06-01,개봉영화,장편,한국,"1,171","35,114,332,791","4,277,071","10,881,501,871","1,283,972"
여우주연상,성실한 나라의 앨리스,이정현,2015,안국진,한국영화아카데미,CGV아트하우스,2015-08-13,개봉영화,장편,한국,69,"349,482,500","43,964","175,441,700","21,590"
여우주연상,한공주,천우희,2014,이수진,리 공동체 영화사,CGV아트하우스,2014-04-17,개봉영화,장편,한국,226,"1,780,640,800","224,452","576,752,300","70,103"
여우주연상,감시자들,한효주,2013,"조의석?,?김병서",영화사 집,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,"39,298,005,179","5,496,547","11,031,549,179","1,477,594"
